"database","tableName","consumerGroup","eventHubResourceId","connectionName","subscription","cluster","resourceGroup"
,"Telemetry","adx-cg","/subscriptions/0be01d84-8432-4558-9aba-ecd204a3ee61/resourceGroups/t3-wil-dev-lda-testjp-aue1-app-rsg/providers/Microsoft.EventHub/namespaces/wil-dev-lda-testjp-aue1-uie/eventhubs/ingestion-to-adx","adxdemouat/testjp-dev/testjp-dev-connection",,"adxdemouat","adx-demo-uat"
,"ConnectorState","adx-cg","/subscriptions/0be01d84-8432-4558-9aba-ecd204a3ee61/resourceGroups/t3-wil-dev-lda-testjp-aue1-app-rsg/providers/Microsoft.EventHub/namespaces/wil-dev-lda-testjp-aue1-uie/eventhubs/connector-state-to-adx","adxdemouat/testjp-dev/testjp-dev-connector-state-connection",,"adxdemouat","adx-demo-uat"
,"livedata","adx-ingest","/subscriptions/f4edc7ff-4396-47be-bf14-90892e463848/resourceGroups/ADX-demo-uat/providers/Microsoft.EventHub/namespaces/wil-uat-adx-cu1-eu21-evt/eventhubs/wil-uat-adx-cu1-eu21-evt-hub-adx-ingest","adxdemouat/livedata/livedatapoc",,"adxdemouat","adx-demo-uat"
,"Performance","rob-performance-testing","/subscriptions/249312a0-4c83-4d73-b164-18c5e72bf219/resourceGroups/t3-wil-sbx-iot-aue-rsg/providers/Microsoft.EventHub/namespaces/t3-wil-iot-aue-uie/eventhubs/performance","adxdemouat/wil-dev-iot-shared-adx-db/wil-dev-iot-shared-adx-db-performance",,"adxdemouat","adx-demo-uat"
,"Telemetry","krishnatestcg","/subscriptions/249312a0-4c83-4d73-b164-18c5e72bf219/resourceGroups/t3-wil-sbx-iot-aue-rsg/providers/Microsoft.EventHub/namespaces/t3-wil-iot-aue-uie/eventhubs/incomingevents","adxdemouat/wil-dev-iot-shared-adx-db/wil-dev-iot-shared-adx-db-telemetry",,"adxdemouat","adx-demo-uat"
,"Performance","rob-performance-testing-1","/subscriptions/249312a0-4c83-4d73-b164-18c5e72bf219/resourceGroups/t3-wil-sbx-iot-aue-rsg/providers/Microsoft.EventHub/namespaces/t3-wil-iot-aue-uie/eventhubs/performance","adxdemouat/wil-dev-iot-shared-adx-db/wil-dev-iot-shared-adx-db-performance-1",,"adxdemouat","adx-demo-uat"
,"ConnectorState","$Default","/subscriptions/249312a0-4c83-4d73-b164-18c5e72bf219/resourceGroups/t3-wil-sbx-lda-sbx-aue1-app-rsg/providers/Microsoft.EventHub/namespaces/pocconnectorstate/eventhubs/set-connector-state","adxdemouat/wil-dev-iot-shared-adx-db/wil-dev-iot-connector-state-event",,"adxdemouat","adx-demo-uat"
,"TestIngestionData","$Default","/subscriptions/f4edc7ff-4396-47be-bf14-90892e463848/resourceGroups/ADX-demo-uat/providers/Microsoft.EventHub/namespaces/wil-uat-adx-cu1-eu21-evt/eventhubs/insights-metrics-pt1m","adxdemouat/wil-uat-lda-brf-livedata/wil-uat-lda-brf-livedata-metrics",,"adxdemouat","adx-demo-uat"
,"adt_dh_wil_uat_smartp_msft_wcu1_dt_westcentralus","$Default","/subscriptions/f4edc7ff-4396-47be-bf14-90892e463848/resourceGroups/t3-wil-uat-smartp-msft-eu21-app-rsg/providers/Microsoft.EventHub/namespaces/wil-uat-smartp-msft-wcu1-ehns/eventhubs/wil-uat-smartp-msft-wcu1-eventhub","adxdemouat/wil-uat-smartp-msft-adx-db/wil-uat-smartp-msft-wcu1-dt.westcentralu",,"adxdemouat","adx-demo-uat"
,"Telemetry","adx-cg","/subscriptions/0be01d84-8432-4558-9aba-ecd204a3ee61/resourceGroups/t3-wil-dev-lda-cu1-aue1-app-rsg/providers/Microsoft.EventHub/namespaces/wil-dev-lda-cu1-aue1-uie/eventhubs/ingestion-to-adx","adxdemouat/customer1-dev/cu1-dev-connection",,"adxdemouat","adx-demo-uat"
