"location","name","properties_fullyQualifiedDomainName","properties_storageProfile_backupRetentionDays","properties_storageProfile_geoRedundantBackup","resourceGroup","subscriptionId","type"
"australiaeast","wil-wrt-pre-psql-aue1","wil-wrt-pre-psql-aue1.postgres.database.azure.com","7","Disabled","t3-wil-wrt-pre-rsg-app-aus","1bc38ca0-6f7f-4f68-946f-5359d9ace66a","microsoft.dbforpostgresql/servers"
"westeurope","wil-wrt-pre-psql-weu","wil-wrt-pre-psql-weu.postgres.database.azure.com","7","Disabled","t3-wil-wrt-pre-rsg-app-weu","1bc38ca0-6f7f-4f68-946f-5359d9ace66a","microsoft.dbforpostgresql/servers"
"eastus","wil-wrt-pre-psql-aue","wil-wrt-pre-psql-aue.postgres.database.azure.com","7","Disabled","t3-wil-wrt-pre-rsg-app-aus","1bc38ca0-6f7f-4f68-946f-5359d9ace66a","microsoft.dbforpostgresql/servers"
"westeurope","wil-wrt-prd-psql-weu","wil-wrt-prd-psql-weu.postgres.database.azure.com","7","Disabled","t3-wil-wrt-prd-rsg-app-weu","ee06cff9-d2d7-405a-8ce9-cf82fe78fbf6","microsoft.dbforpostgresql/servers"
"australiaeast","wil-wrt-prd-psql-aue","wil-wrt-prd-psql-aue.postgres.database.azure.com","35","Disabled","t3-wil-wrt-prd-rsg-app-aus","ee06cff9-d2d7-405a-8ce9-cf82fe78fbf6","microsoft.dbforpostgresql/servers"
"australiaeast","wil-mss-wrt-aue1-pgs","wil-mss-wrt-aue1-pgs.postgres.database.azure.com","7","Disabled","t3-wil-mss-wrt-aue1-app-rsg","5b797013-f6dc-4235-a157-e4cb98ef8599","microsoft.dbforpostgresql/servers"
"australiaeast","wil-kvn-wrt-aue1-pgs","wil-kvn-wrt-aue1-pgs.postgres.database.azure.com","7","Disabled","t3-wil-kvn-wrt-aue1-app-rsg","5b797013-f6dc-4235-a157-e4cb98ef8599","microsoft.dbforpostgresql/servers"
"australiaeast","wil-wrt-dev-psql-aue1","wil-wrt-dev-psql-aue1.postgres.database.azure.com","7","Disabled","t3-wil-wrt-dev-rsg-app-aue","5b797013-f6dc-4235-a157-e4cb98ef8599","microsoft.dbforpostgresql/servers"
"australiaeast","wil-wrt-uat-psql-aue1","wil-wrt-uat-psql-aue1.postgres.database.azure.com","7","Disabled","t3-wil-wrt-uat-rsg-app-aue","0c69c2fd-b86e-4f3a-9cb6-a72eb9de9902","microsoft.dbforpostgresql/servers"
"australiaeast","internal-devservices-psql","internal-devservices-psql.postgres.database.azure.com","7","Disabled","internal-devservices","178b67d7-b6fd-46db-b4a3-b57f8a6b045f","microsoft.dbforpostgresql/servers"
"eastus2","wil-dev-lda-brf-eu21-pgs","wil-dev-lda-brf-eu21-pgs.postgres.database.azure.com","7","Disabled","t3-wil-dev-lda-brf-eu21-app-rsg","0be01d84-8432-4558-9aba-ecd204a3ee61","microsoft.dbforpostgresql/servers"
"eastus2","wil-dev-lda-msft-eu21-pgs","wil-dev-lda-msft-eu21-pgs.postgres.database.azure.com","7","Disabled","t3-wil-dev-lda-msft-eu21-app-rsg","0be01d84-8432-4558-9aba-ecd204a3ee61","microsoft.dbforpostgresql/servers"
"australiaeast","wil-dev-lda-cu1-aue1-pgs","wil-dev-lda-cu1-aue1-pgs.postgres.database.azure.com","7","Disabled","t3-wil-dev-lda-cu1-aue1-app-rsg","0be01d84-8432-4558-9aba-ecd204a3ee61","microsoft.dbforpostgresql/servers"
"eastus2","wil-dev-lda-cu1-eu21-pgs","wil-dev-lda-cu1-eu21-pgs.postgres.database.azure.com","7","Disabled","t3-wil-dev-lda-cu1-eu21-app-rsg","0be01d84-8432-4558-9aba-ecd204a3ee61","microsoft.dbforpostgresql/servers"
"australiaeast","wil-dev-min-lda-wil-aue2-pgs","wil-dev-min-lda-wil-aue2-pgs.postgres.database.azure.com","30","Disabled","t3-wil-dev-min-lda-wil-aue2-app-rsg","7dab7b5a-d968-43a5-a50f-9509244c297b","microsoft.dbforpostgresql/servers"
"australiaeast","wil-ncp-lda-ncp-aue1-pgs","wil-ncp-lda-ncp-aue1-pgs.postgres.database.azure.com","30","Disabled","t3-wil-ncp-lda-ncp-aue1-app-rsg","0659c76d-fcbf-4e58-8bce-960b9e0cd100","microsoft.dbforpostgresql/servers"
"eastus2","wil-prd-lda-bp-eu22-pgs","wil-prd-lda-bp-eu22-pgs.postgres.database.azure.com","30","Disabled","t3-wil-prd-lda-bp-eu22-app-rsg","e878a98a-20ec-4516-a59d-f393429fe07c","microsoft.dbforpostgresql/servers"
"eastus2","wil-prd-lda-msft-eu22-pgs","wil-prd-lda-msft-eu22-pgs.postgres.database.azure.com","30","Disabled","t3-wil-prd-lda-msft-eu22-app-rsg","e878a98a-20ec-4516-a59d-f393429fe07c","microsoft.dbforpostgresql/servers"
"eastus2","wil-prd-lda-dfw-eu22-pgs","wil-prd-lda-dfw-eu22-pgs.postgres.database.azure.com","30","Disabled","t3-wil-prd-lda-dfw-eu22-app-rsg","e878a98a-20ec-4516-a59d-f393429fe07c","microsoft.dbforpostgresql/servers"
"westeurope","wil-prd-lda-axa-weu2-pgs","wil-prd-lda-axa-weu2-pgs.postgres.database.azure.com","30","Disabled","t3-wil-prd-lda-axa-weu2-app-rsg","e878a98a-20ec-4516-a59d-f393429fe07c","microsoft.dbforpostgresql/servers"
"australiaeast","wil-prd-lda-inv-aue2-pgs","wil-prd-lda-inv-aue2-pgs.postgres.database.azure.com","30","Disabled","t3-wil-prd-lda-inv-aue2-app-rsg","e878a98a-20ec-4516-a59d-f393429fe07c","microsoft.dbforpostgresql/servers"
"westeurope","wil-prd-lda-skws-weu2-pgs","wil-prd-lda-skws-weu2-pgs.postgres.database.azure.com","30","Disabled","t3-wil-prd-lda-skws-weu2-app-rsg","e878a98a-20ec-4516-a59d-f393429fe07c","microsoft.dbforpostgresql/servers"
"eastus2","wil-prd-lda-brf-eu22-pgs","wil-prd-lda-brf-eu22-pgs.postgres.database.azure.com","30","Disabled","t3-wil-prd-lda-brf-eu22-app-rsg","e878a98a-20ec-4516-a59d-f393429fe07c","microsoft.dbforpostgresql/servers"
"australiaeast","wil-prd-lda-wkr-aue2-pgs","wil-prd-lda-wkr-aue2-pgs.postgres.database.azure.com","30","Disabled","t3-wil-prd-lda-wkr-aue2-app-rsg","e878a98a-20ec-4516-a59d-f393429fe07c","microsoft.dbforpostgresql/servers"
"eastus2","wil-prd-lda-sofi-eu22-pgs","wil-prd-lda-sofi-eu22-pgs.postgres.database.azure.com","30","Disabled","t3-wil-prd-lda-sofi-eu22-app-rsg","e878a98a-20ec-4516-a59d-f393429fe07c","microsoft.dbforpostgresql/servers"
"australiaeast","wil-prd-lda-tlr-aue2-pgs","wil-prd-lda-tlr-aue2-pgs.postgres.database.azure.com","30","Disabled","t3-wil-prd-lda-tlr-aue2-app-rsg","e878a98a-20ec-4516-a59d-f393429fe07c","microsoft.dbforpostgresql/servers"
"eastus2","wil-prd-lda-oxf-eu22-pgs","wil-prd-lda-oxf-eu22-pgs.postgres.database.azure.com","30","Disabled","t3-wil-prd-lda-oxf-eu22-app-rsg","e878a98a-20ec-4516-a59d-f393429fe07c","microsoft.dbforpostgresql/servers"
"westeurope","wil-prd-lda-bg22-weu2-pgs","wil-prd-lda-bg22-weu2-pgs.postgres.database.azure.com","30","Disabled","t3-wil-prd-lda-bg22-weu2-app-rsg","e878a98a-20ec-4516-a59d-f393429fe07c","microsoft.dbforpostgresql/servers"
"australiaeast","wil-prd-lda-dex-aue2-pgs","wil-prd-lda-dex-aue2-pgs.postgres.database.azure.com","30","Disabled","t3-wil-prd-lda-dex-aue2-app-rsg","e878a98a-20ec-4516-a59d-f393429fe07c","microsoft.dbforpostgresql/servers"
"australiaeast","wil-prd-lda-wlo-aue2-pgs","wil-prd-lda-wlo-aue2-pgs.postgres.database.azure.com","30","Disabled","t3-wil-prd-lda-wlo-aue2-app-rsg","e878a98a-20ec-4516-a59d-f393429fe07c","microsoft.dbforpostgresql/servers"
"australiaeast","wil-dmo-wrt-aue1-pgs","wil-dmo-wrt-aue1-pgs.postgres.database.azure.com","7","Disabled","t3-wil-dmo-wrt-aue1-app-rsg","ae0c8612-75e8-4b6e-9443-ce2d7cd35d4e","microsoft.dbforpostgresql/servers"
"eastus2","wil-uat-lda-brf-eu21-pgs","wil-uat-lda-brf-eu21-pgs.postgres.database.azure.com","7","Disabled","t3-wil-uat-lda-brf-eu21-app-rsg","f4edc7ff-4396-47be-bf14-90892e463848","microsoft.dbforpostgresql/servers"
"australiaeast","wil-uat-lda-cu1-aue1-pgs","wil-uat-lda-cu1-aue1-pgs.postgres.database.azure.com","7","Disabled","t3-wil-uat-lda-cu1-aue1-app-rsg","f4edc7ff-4396-47be-bf14-90892e463848","microsoft.dbforpostgresql/servers"
"eastus2","wil-uat-lda-cu1-eu21-pgs","wil-uat-lda-cu1-eu21-pgs.postgres.database.azure.com","7","Disabled","t3-wil-uat-lda-cu1-eu21-app-rsg","f4edc7ff-4396-47be-bf14-90892e463848","microsoft.dbforpostgresql/servers"
"australiaeast","wil-uat-lda-inv-aue1-pgs","wil-uat-lda-inv-aue1-pgs.postgres.database.azure.com","7","Disabled","t3-wil-uat-lda-inv-aue1-app-rsg","f4edc7ff-4396-47be-bf14-90892e463848","microsoft.dbforpostgresql/servers"
